,sentence_id,word_id,sentence,word,annotation_0,annotation_1
89,7,89,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,OTH,FIL
99,7,99,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,OTH,FIL
110,7,110,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,OTH,FIL
123,8,123,patapos na yung buwan ng oct,oct,OTH,ENG
148,9,148,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?",fangirls,FIL,ENG
168,10,168,KoLab : Komunidad Laban sa COVID ang isa ring programang inilunsad ngayong linggo at sinimulan ito sa Naga City .,Naga,OTH,FIL
177,12,177,MagpaGA na lang kaya ako ng bigas para sa birthday ni Woozi ?,MagpaGA,FIL,CS
206,13,206,Nakaparada umano ang kotse ni Hilario nang magsidatingan ang mga suspek na lulan ng puting Isuzu Crosswind ( XYF - 188 ) at maroon na Honda City ( NCV - 9054 ) .,Crosswind,OTH,ENG
316,18,316,"Patay ang dalawang big-time drug pusher habang tinatayang nasa 31 kilo ng shabu na nagkakahalaga ng P210 milyon ang nasamsam sa mga ito , matapos ang buy-bust operation ng Philippine National Police-Drug Enforcement Group ( PDEG ) sa Las Pinas City , Martes ng gabi .",shabu,OTH,FIL
422,22,422,"Matthew Manotoc , isang 22-anyos ang pasyente at mula sa Barangay Duripes sa bayan ng Bacarra .",Barangay,FIL,OTH
456,24,456,"Ra ulo ka Leo ikaw na nga ginawan ng favor , ikaw pa ang nang ggalaiti sa glitany tym pwd ka nyan ilaglag , wala na rin nman yan kay Franco ikaw dami mawwala sayo , kulong kapa",glitany,ENG,OTH
457,24,457,"Ra ulo ka Leo ikaw na nga ginawan ng favor , ikaw pa ang nang ggalaiti sa glitany tym pwd ka nyan ilaglag , wala na rin nman yan kay Franco ikaw dami mawwala sayo , kulong kapa",tym,ENG,OTH
499,26,499,malapit ko ng makalbo si mama huhu jennie bat ang ganda,mama,ENG,FIL
510,27,510,"Balita lang , d sapat yan , maniniwala ang pamilya na pinatay nya kung cla mismo ang makakakita na tutuong patay na , para makamit ang hostisya , d maniniwala mga tao na patay na ,",yan,FIL,ENG
576,29,576,"Sa salaysay ng testigong si Frenciss Ruby , dating kinakasama ng suspek , bago ang krimen ay patungo umano siya sa isang common comfort room sa naturang lugar , nang makita si Ortillo na kasama ang isang alyas John Dapulag .",isang,FIL,
642,31,642,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Lupang,FIL,OTH
643,31,643,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Pangako,FIL,OTH
645,31,645,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Barangay,FIL,OTH
646,31,646,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Payatas,FIL,OTH
654,31,654,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Mayor,ENG,OTH
711,33,711,"Sagot nya po na mangutang daw po ako sa mga kaibigan ko po kasi baka wla na yung TV na yun tapos sayang daw kasi sale po , nangutang pa ako para mkadown ng TV .",TV,OTH,ENG
727,33,727,"Sagot nya po na mangutang daw po ako sa mga kaibigan ko po kasi baka wla na yung TV na yun tapos sayang daw kasi sale po , nangutang pa ako para mkadown ng TV .",TV,OTH,ENG
743,35,743,Baka meron dumalaw sa akin at wag kayo mag skip ng .,mag,OTH,FIL
771,36,771,"Ang sangkatauhan ay hindi na malungkot ; sa lupa , hindi na dumadaing ang mga tao sa pagiging walang kabuluhan ng buhay , at humihinto mula sa lahat ng pakikitungo sa buhay .",humihinto,ENG,FIL
805,38,805,Nakikiisa kami sa KWF sa adhikain nitong linangin at palaganapin ang paggamit ng wikang Filipino sa bansa .,Filipino,OTH,FIL
823,39,823,Tinanggap ng mga Romano ang maraming bathalang Griyego ngunit binigyan ng karampatang pangalan sa Latin .,Latin,ENG,OTH
827,40,827,bwisit ka shoma dahil sayo di ako makapagkape,shoma,OTH,FIL
899,45,899,"sobra na talaga kalamidad na dumarating sa ating bansa , kawawa nman mga kababayan ko , patuloy tayo manalig sa Dios mga kabayan , kc wala na takot sa Dios ang iba lalo mga opisyal ng gobyerno natin .",Dios,OTH,FIL
908,45,908,"sobra na talaga kalamidad na dumarating sa ating bansa , kawawa nman mga kababayan ko , patuloy tayo manalig sa Dios mga kabayan , kc wala na takot sa Dios ang iba lalo mga opisyal ng gobyerno natin .",Dios,OTH,FIL
937,47,937,Wa epek na saming mga marcos loyalist ang lahat2 ng pannra nla ky bbm at gicing nrin amg sambayanang pilipino sa katthanan .,lahat2,OTH,FIL
1010,50,1010,"Hell , maybe if shit turned out super well baka makasali ako sa mga nagpopost ng new custom builds dito .",nagpopost,CS,FIL
1036,52,1036,hindi mo alam ang buhay at sakripisyo ng isang ina OFW din ako s matagal n panahon pero minahal at iginalang ako ng mga anak ko !,s,FIL,OTH
1038,52,1038,hindi mo alam ang buhay at sakripisyo ng isang ina OFW din ako s matagal n panahon pero minahal at iginalang ako ng mga anak ko !,n,FIL,OTH
1057,53,1057,Alangan punta ako dyan ng di tayo okay ?,okay,FIL,ENG
1061,54,1061,Ganda ng name ko tas tatawagin mo akong pogi ?,name,ENG,FIL
1112,57,1112,"Lumabas ako sa bahay para bawas stress naman , tas pag labas ko nakatapak ako ng tae haahahahahahahaha",stress,ENG,FIL
1182,61,1182,"Asahan na ang matitinding talakayan sa usaping pag-ibig at pangangaliwa , panggagantso , at iba pa sa pagsisimula ng Amy-nin para rin magbigay-linaw at gabay sa mga manonood .",Amy-nin,FIL,OTH
1249,66,1249,mag-aasawa muna ako ng mafia ha,ha,FIL,OTH
1261,67,1261,"Noong dekada , ipinakilala ng mga batikero na naglipat patungo sa Malaya ang paggamit ng pagkit at blokeng tanso sa silangang baybayin nito .",Malaya,OTH,FIL
1338,73,1338,"Arestado ang isang 28-anyos na obrero sa Bacoor City , Cavite nitong Miyerkoles ng hapon nang maaktuhang tangay ang isang cast iron manhole para sa Cavite Expressway ( CAVITEX ) .",28-anyos,FIL,OTH
1403,77,1403,Nakakairita yung mga ganito .,.,OTH,FIL
1454,81,1454,Kung ako kay ate girl magpost pa lalo ng mga pro-BBM post,girl,ENG,FIL
1466,82,1466,Takot na ang mga dilawan Kay bbm,dilawan,OTH,FIL
1476,83,1476,Nakakaumay nakakapanghina gumising / matulog ng ganto awit,awit,FIL,OTH
1507,84,1507,"Bentang-benta nga sa TikTok ang mga paandar ni Angela , lalo na ang unfinished original song niyang Ako Naman Muna , na release na ang buong bersyon ngayong Biyernes ( March 5 ) .",March,ENG,OTH
1515,85,1515,"Aabangan ko to sa saturday , bet ko itong episode ng",saturday,ENG,FIL
1516,85,1516,"Aabangan ko to sa saturday , bet ko itong episode ng",",",OTH,FIL
1517,85,1517,"Aabangan ko to sa saturday , bet ko itong episode ng",bet,FIL,ENG
1605,89,1605,Nasa point na ako na ayaw ko na mag isip anong mangyayari sa Bazinga MV kasi always naman susurprisahin ako ng esbi for sure mamaya ulit SB19 BAZINGA MAMAYA,Bazinga,OTH,ENG
1619,89,1619,Nasa point na ako na ayaw ko na mag isip anong mangyayari sa Bazinga MV kasi always naman susurprisahin ako ng esbi for sure mamaya ulit SB19 BAZINGA MAMAYA,BAZINGA,OTH,ENG
1624,90,1624,Aalis ako ng Pilipinas ng walang plano .,Pilipinas,OTH,FIL
1673,92,1673,"Umabot na sa 421 , 723 na overseas Filipino workers ( OFWs ) ang naasistihan sa ilalim ng Hatid-Tulong Program .",Hatid-Tulong,FIL,OTH
1721,95,1721,Nhihirapan ako feeling ko hnd normal ang buhay ko kc palagi sila nasunod saken .,normal,ENG,FIL
1744,96,1744,Dapat sila ang magtolongan pag NASA ibang Bansa . tama ksi ang ibang Pinoy magseselosan .,Pinoy,OTH,FIL
1748,97,1748,Sorry alam Kong nasaktan ko kayo sa mga nasabi ko sobrang naiinis lang talaga ako sa sarili ko sana maintindihan nyoko sorry,alam,FIL,ENG
1842,101,1842,Kung ngbabayad sana ng taxes ang abs cbn di sna bka andyn pa sila mapapanood pa natin .,ang,ENG,FIL
1982,109,1982,"Siguro sa isang linggo tatlong araw lang na merong dumadating so mahihirapan talaga , ""  ani Rosendo So , chairman ng SINAG Sabi rin ng DA na patuloy nilang hinihimok ang mga hog raiser at trader na magdala ng mga baboy sa Metro Manila dahil sagot naman ng ahensiya ang transport .",so,FIL,ENG
2022,109,2022,"Siguro sa isang linggo tatlong araw lang na merong dumadating so mahihirapan talaga , ""  ani Rosendo So , chairman ng SINAG Sabi rin ng DA na patuloy nilang hinihimok ang mga hog raiser at trader na magdala ng mga baboy sa Metro Manila dahil sagot naman ng ahensiya ang transport .",transport,ENG,FIL
2075,113,2075,Tagal mag 5 gusto ko na panoorin mv ng aespaaaaa,mv,OTH,ENG
2128,115,2128,Tas pag na PM magtatanong uoe ng details .,uoe,FIL,OTH
2133,116,2133,ritwal reveal po sa mga pinapayagan magkulay ng buhok,reveal,FIL,ENG
2309,121,2309,"Bukod sa MRT-3 , nagkakaloob rin ng libreng pamasahe para sa mga vaccinated APORs sa ECQ period ang LRT-2 at ang Philippine National Railways ( PNR ) .",Philippine,ENG,OTH
2331,123,2331,Maganda ba ang work ethic ng player sa practice ?,work,ENG,FIL
2332,123,2332,Maganda ba ang work ethic ng player sa practice ?,ethic,ENG,FIL
2366,125,2366,"Ayon kay Valenzuela Mayor Rex Gatchalian , umabo simula 25 hanggang 50 porsiyento ng mga residente sa lugar ang nagpositibo sa COVID-19 , kaya napagpasyahan na isailalim ang lugar sa lockdown .",Mayor,OTH,ENG
2395,126,2395,sanaol kay dusty 2nd time makasama sa mv ng esbi,sanaol,CS,OTH
2397,126,2397,sanaol kay dusty 2nd time makasama sa mv ng esbi,dusty,ENG,OTH
2398,126,2398,sanaol kay dusty 2nd time makasama sa mv ng esbi,2nd,OTH,ENG
2404,126,2404,sanaol kay dusty 2nd time makasama sa mv ng esbi,esbi,OTH,FIL
2412,127,2412,ngayon ka magdesisyon kung oorder ka ng set @ self,set,ENG,FIL
2511,131,2511,"Sobra na tama na ang corruption lubog na lubog na ang Pilipinas , matakot sana sa Diyos mga nasa gobyerno na walang ginawa kundi magpayaman",Pilipinas,OTH,FIL
2547,133,2547,"Ang mahal kasi ng galing sa mga kilalang brands , eh bihira ko lang naman gagamitin .",eh,FIL,OTH
2579,134,2579,"Ang isinabuhay ni Job sa panahon ng kanyang buong buhay at ang kanyang kapansin pansin na tagumpay laban kay Satanas ay magpakailanman na itatangi ng Diyos , at ang kanyang pagka-perpekto at pagkamatuwid , at takot sa Diyos ay igagalang at tutularan ng mga henerasyon na darating .",Diyos,OTH,FIL
2591,134,2591,"Ang isinabuhay ni Job sa panahon ng kanyang buong buhay at ang kanyang kapansin pansin na tagumpay laban kay Satanas ay magpakailanman na itatangi ng Diyos , at ang kanyang pagka-perpekto at pagkamatuwid , at takot sa Diyos ay igagalang at tutularan ng mga henerasyon na darating .",Diyos,OTH,FIL
2700,139,2700,Madami ang nangangarap maging ako pero di nila alm mung ano setwasyon ko ngaun,alm,FIL,ENG
2706,140,2706,Diman nato mahatag ang pamilya na gusto niya .,Diman,FIL,OTH
2708,140,2708,Diman nato mahatag ang pamilya na gusto niya .,mahatag,FIL,OTH
2749,143,2749,Ang isa sa mga model na pwedeng makisabay sa intertional scene ay ang CM Aqua S10 Pro .,Aqua,ENG,OTH
2824,149,2824,"Ang naturang 59-anyos na lola ang unang COVID-19 patient sa Bian City , Laguna , at gumaling sa sakit ilang araw matapos na ipagdiwang kaniyang kaarawan .",59-anyos,OTH,FIL
2899,151,2899,Sinabi pa niya ; Hangad kong ibalik ang mapagkaisang paglilingkod na magbubuklod sa ating bansa .,mapagkaisang,FIL,ENG
2964,155,2964,ay pwede to nangaliwa yung asawa ko eh,eh,OTH,FIL
2978,156,2978,sa nakapulot ng hikaw ni lilyme di nyo rin masasangla yan nasaken kapares e,e,FIL,OTH
3045,160,3045,Diba nga sabi may covid sana iconsider mo yun dshil di naman nakalabas ng bahay dahil sa covid .,covid,OTH,CS
3161,168,3161,May mga bagay na kailangang langkapan ng dagdag na responsibilidad .,May,FIL,OTH
3233,172,3233,"Ang pinsala sa mga pambansang tanggapan ay tinatayang nasa halos P2-bilyon , habang ang pinsala sa mga ahensya ng lalawigan ay tinatayang mas mababa sa P2 . 1-bilyon .",P2-bilyon,FIL,OTH
3250,172,3250,"Ang pinsala sa mga pambansang tanggapan ay tinatayang nasa halos P2-bilyon , habang ang pinsala sa mga ahensya ng lalawigan ay tinatayang mas mababa sa P2 . 1-bilyon .",1-bilyon,FIL,OTH
3303,175,3303,nakakahiya na nga mag vid sa pe tapos sa school gc pa ipapasa fuckjshsksjajaka saksakin nyo nalang ako,pe,CS,OTH
3307,175,3307,nakakahiya na nga mag vid sa pe tapos sa school gc pa ipapasa fuckjshsksjajaka saksakin nyo nalang ako,gc,CS,OTH
3330,176,3330,Ang mga mahistrado ay itinatalaga ng pangulo ayon sa mungkahi ng Panghukuman at konseho ng bar ng Pilipinas .,bar,FIL,ENG
3332,176,3332,Ang mga mahistrado ay itinatalaga ng pangulo ayon sa mungkahi ng Panghukuman at konseho ng bar ng Pilipinas .,Pilipinas,FIL,OTH
3445,182,3445,"Sobrang natuwa ako kasi sobrang accommodating nila at ang sumundo pa sakin ay yung thera na napili ko , si J . Ang pogi pala talaga nya lalo sa personal .",thera,ENG,OTH
3516,186,3516,"Sa written order , iniuutos ang agarang implementasyon ng moratorium sa DOE na tanging solusyon para sa pagkakaroon ng malinis na kapaligiran at masagip ang mga tao sa impak rising global temperatures .",DOE,CS,OTH
3583,188,3583,Isinalarawan ni Senadora Leila de Lima na isang pagtokhang ang ginawang pagpatay sa prangkisa ng ABS-CBN .,ABS-CBN,CS,OTH
3589,189,3589,"Kung maaari lahat ng fones at history ng messages ng mga sangkot kalkalin at i match sa time ng pangyayari , cctv footage sa lahat ng angles pagpasok at paglabas ng bisita tiyak ako malaking tulong yun !",fones,FIL,ENG
3593,189,3593,"Kung maaari lahat ng fones at history ng messages ng mga sangkot kalkalin at i match sa time ng pangyayari , cctv footage sa lahat ng angles pagpasok at paglabas ng bisita tiyak ako malaking tulong yun !",messages,FIL,ENG
3606,189,3606,"Kung maaari lahat ng fones at history ng messages ng mga sangkot kalkalin at i match sa time ng pangyayari , cctv footage sa lahat ng angles pagpasok at paglabas ng bisita tiyak ako malaking tulong yun !",cctv,OTH,ENG
3675,193,3675,"Sa caption ni Sharon sa Instagram , nagpayo siyang mahalin ng mga tao ang kanilang katawan .",Instagram,OTH,ENG
3700,194,3700,"wow yun ang sabaok , ganun ka pala baka pakitaan ko sila ng convo naten HAHAHA reply mo nga 3-5 words lang HAHAHAHAHAHA",convo,CS,ENG
3760,198,3760,Nalaglag naman sa third place ang Red Lions na kakalabanin ang CSB Blazers sa play-in round sa darating na linggo .,Red,ENG,OTH
3761,198,3761,Nalaglag naman sa third place ang Red Lions na kakalabanin ang CSB Blazers sa play-in round sa darating na linggo .,Lions,ENG,OTH
3766,198,3766,Nalaglag naman sa third place ang Red Lions na kakalabanin ang CSB Blazers sa play-in round sa darating na linggo .,Blazers,ENG,OTH
3863,203,3863,Panay patugtog ng christmas songs ng kapitbahay .,christmas,OTH,ENG
3891,205,3891,"Sana nman wg u nang baratin mahirap po Gawain nila , tulong nlang Sana nyo sa Kanila , , SilA po Ang ninuno natin , Isa pa fresh mga binta nila , Kya wg nman baratin SilA , maawa nman kayo sa mga katutubo",u,FIL,ENG
3965,207,3965,Tagal ko ng di nakakanood sayo Tito Pepsi ngayun nalang Ulet miss ko manood Dito !,Pepsi,OTH,ENG
4085,212,4085,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,kv,FIL,OTH
4088,212,4088,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,q,FIL,OTH
4089,212,4089,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,kht,FIL,OTH
4094,212,4094,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,q,FIL,OTH
4098,212,4098,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,aq,FIL,OTH
4103,212,4103,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,q,FIL,OTH
4105,212,4105,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,aq,FIL,OTH
4107,212,4107,Kht aq madali rin tumulo ang luha kht lalaki aq kc ginagawa q rin yan na ginagawa kht isa rin aqung mahirap kv ang katwiran q kht sa kaunti na maibaot q ay masaya na aq parang tumalbog ang puso q pagnakakabigay aq . kht barya lang .,kht,FIL,OTH
4146,215,4146,itigil na ang sugal .makontento sana tau sa ibinibigay ng Diyos .alam mo nman na kasalanan ang pagsusugal .dahil every sunday my fellowship kayu respeto nalng sa Diyos na nasa itaas,my,FIL,ENG
4177,216,4177,"Ayon sa Shell , Seaoil , Petrogazz at Cleanfuel , may taas na P0 . 45 sa bawat litro ng kanilang gasoline habang P0 . 30 naman ang dagdag sa bawat litro ng diesel .",gasoline,FIL,ENG
4189,216,4189,"Ayon sa Shell , Seaoil , Petrogazz at Cleanfuel , may taas na P0 . 45 sa bawat litro ng kanilang gasoline habang P0 . 30 naman ang dagdag sa bawat litro ng diesel .",diesel,FIL,ENG
4221,217,4221,"Ayon kay Alvin Enciso , hepe ng Customs Intelligence and Investigation Service ( CIIS ) sa MICP , ang pagpupuslit ng mga naturang sigarilyo sa bansa ay paglabag sa Section 1400 ng Customs Modernization and Tariff Act .",1400,OTH,ENG
4319,222,4319,"Kung hindi tayo mag ingat at mag experemento ulit at maniniwala sa mga pangako at sila lang daw ang may blueprint sa mga projects , THE PHILIPPINES WILL BE BACK TO ZERO AGAIN !",PHILIPPINES,OTH,ENG
4361,225,4361,Hangga't nanjan si Doque di ako naniniwala sa mga resulta ng daily covid cases report .,covid,OTH,ENG
4392,227,4392,"Bukod pa rito , nangahulugan ito na may pagkakataon na si Job na makuha ang pagsang-ayon ng Diyos , at sa gayon ay mas mapapalapit siya sa Diyos .",Diyos,OTH,FIL
4402,227,4402,"Bukod pa rito , nangahulugan ito na may pagkakataon na si Job na makuha ang pagsang-ayon ng Diyos , at sa gayon ay mas mapapalapit siya sa Diyos .",Diyos,OTH,FIL
4433,229,4433,sasama na ako kay Papa Jesus pag may bagsak akong grade,Papa,FIL,ENG
4434,229,4434,sasama na ako kay Papa Jesus pag may bagsak akong grade,Jesus,OTH,ENG
4439,229,4439,sasama na ako kay Papa Jesus pag may bagsak akong grade,grade,ENG,FIL
4566,236,4566,Bayaran kayo dapat patas ang laban kung maari hwag na kayong mag survey dahil alam na nang smartmatic ang mananalo,smartmatic,CS,OTH
4601,238,4601,"bakit po minsan hindi gumagana ang chitin jump , at ang inaatake nya ay ang nasa unahan na axie ?",chitin,ENG,OTH
4638,241,4638,Boss d ang likod talaga ng camera man mo,d,OTH,FIL
4753,247,4753,"Yung babae na kasabay ko sa jeep na sinakyan ko , biglang hinablot ng lalaking lubak ang mukha at pAyat eh buti nga hindi nakuha yung phone sa babae .",jeep,FIL,ENG
4767,247,4767,"Yung babae na kasabay ko sa jeep na sinakyan ko , biglang hinablot ng lalaking lubak ang mukha at pAyat eh buti nga hindi nakuha yung phone sa babae .",eh,OTH,FIL
4873,254,4873,"Imaginine nyo , saan ko ilalagay ang 300 patients na yan ?",Imaginine,CS,FIL
4892,256,4892,Baka yan pa ang ikamatay ko,Baka,FIL,ENG
4915,257,4915,Ang mga paunang ulat ay nagpapahiwatig na ang helikopter ay nag-crash sa mga burol sa itaas ng Calabasas sa mabibigat na ulap .,Calabasas,FIL,OTH
4987,260,4987,Tigil face-to-face class Hindi na rin pinayagan ni Pangulong Duterte ang face to face classes kaya nabuo ng Department of Education ang online at modular learning method para masiguro ang kaligtasan ng lahat ng mga estudyante sa bansa .,ang,ENG,FIL
5080,265,5080,Kung wala pwede po ba kayo gumawa ng tiktok account ?,tiktok,OTH,ENG
5086,266,5086,Bat parang nadedeja vu ako sa mga nangyayari ngaun ?,vu,ENG,OTH
5092,266,5092,Bat parang nadedeja vu ako sa mga nangyayari ngaun ?,?,OTH,
5138,269,5138,cong wag kang papayat ha,cong,OTH,FIL
5142,269,5142,cong wag kang papayat ha,ha,FIL,OTH
5171,272,5171,Day 2 ng gagawin lahat except mag-aral,except,ENG,FIL
5243,277,5243,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",mag-alas-8,OTH,FIL
5256,277,5256,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",Commonwealth,ENG,OTH
5264,277,5264,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",Rotonda,ENG,OTH
5270,277,5270,"Nagsimula bago mag-alas-8 ng umaga sa harap ng Commission on Audit ( COA ) sa Commonwealth Ave , nagtapos ang caravan sa Welcome Rotonda sa Quezon Ave pagsapit ng alas-1 ng hapon .",alas-1,OTH,FIL
5376,282,5376,Kastress tong mga kailangan lakarin sa work ah ayoko na,ah,FIL,OTH
5393,283,5393,"Dapat talaga na matalino tayo sa pagboto , huwag magpaloko sa mabulaklak ang sinasabi , huwag agad-agad bibigay , kilalanin maigi .",",",OTH,FIL
5414,284,5414,"Ano ba ang problema mo at ang ingay-ingay mo , wika umano ni Ladia na sinagot naman ng biktima na bakit pag sinabi ko ba sayo masusulusyunan mo ?",Ladia,OTH,FIL
5432,285,5432,""" hindi ah , titingin ako hanggang sa taas "" sabi ko at tumingin sa kanya .",ah,OTH,FIL
5466,286,5466,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,ma,FIL,OTH
5467,286,5467,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,sa,FIL,OTH
5528,288,5528,"We just try to make some momentum for our team , kasi mabilis lang ang conference and dikit ang standings , sabi ni Cabagnot na tinulungan ang Beermen sa kabuuang 30-15 atake sa ikatlong yugto matapos na maglaho ang 10-puntos na abante at kapitan ang 39-38 abante pagpasok ng ikatlong stanza .",10-puntos,OTH,FIL
