sentence_id,word_id,sentence,word,annot
0,0,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,Kaya,FIL
0,1,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kayong,FIL
0,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,mga,FIL
0,3,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,babae,FIL
0,4,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,wag,FIL
0,5,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kayong,FIL
0,6,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,basta,FIL
0,7,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,basta,FIL
0,8,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,magtiwala,FIL
0,9,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,na,FIL
0,10,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kahit,FIL
0,11,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kanino,FIL
0,12,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kasi,FIL
0,13,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,.,OTH
1,14,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,Busy,ENG
1,15,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,sa,FIL
1,16,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,pagpapadami,FIL
1,17,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,ng,FIL
1,18,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,votes,ENG
1,19,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,dun,FIL
1,20,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,sa,FIL
1,21,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,picture,ENG
1,22,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,ni,FIL
1,23,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,Belinda,OTH
1,24,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,whahaaahah,OTH
2,25,Ikaw pa rin ang pipiliin ko,Ikaw,FIL
2,26,Ikaw pa rin ang pipiliin ko,pa,FIL
2,27,Ikaw pa rin ang pipiliin ko,rin,FIL
2,28,Ikaw pa rin ang pipiliin ko,ang,FIL
