sentence_id,word_id,sentence,word,(WYM)_WattzYuanMikyla,Data_Sayentists,Human.exe,INTSYCURE,Intsy_Bitsy_Spider,LOIS,Malunggay_Pandesal,Non-Intelligent_Systems,RoboCop,The_Rizztelligent_Systems_(No_Name_Given_-_Auto_Assigned),afterclass.zip,soko_boys
0,0,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,Kaya,,,,FIL,,,,,,FIL,,
0,1,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kayong,,,,FIL,,,,,,FIL,,
0,2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,mga,,,,FIL,,,,,,FIL,,
0,3,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,babae,,,,FIL,,,,,,FIL,,
0,4,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,wag,,,,FIL,,,,,,FIL,,
0,5,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kayong,,,,FIL,,,,,,FIL,,
0,6,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,basta,,,,FIL,,,,,,FIL,,
0,7,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,basta,,,,FIL,,,,,,FIL,,
0,8,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,magtiwala,,,,FIL,,,,,,FIL,,
0,9,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,na,,,,FIL,,,,,,FIL,,
0,10,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kahit,,,,FIL,,,,,,FIL,,
0,11,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kanino,,,,FIL,,,,,,FIL,,
0,12,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,kasi,,,,FIL,,,,,,FIL,,
0,13,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .,.,,,,OTH,,,,,,OTH,,
1,14,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,Busy,,,ENG,,,,,,ENG,,,
1,15,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,sa,,,FIL,,,,,,FIL,,,
1,16,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,pagpapadami,,,FIL,,,,,,FIL,,,
1,17,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,ng,,,FIL,,,,,,FIL,,,
1,18,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,votes,,,ENG,,,,,,ENG,,,
1,19,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,dun,,,FIL,,,,,,FIL,,,
1,20,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,sa,,,FIL,,,,,,FIL,,,
1,21,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,picture,,,ENG,,,,,,ENG,,,
1,22,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,ni,,,FIL,,,,,,FIL,,,
1,23,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,Belinda,,,OTH,,,,,,OTH,,,
1,24,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah,whahaaahah,,,OTH,,,,,,OTH,,,
2,25,Ikaw pa rin ang pipiliin ko,Ikaw,,,FIL,,,,,,,,,FIL
2,26,Ikaw pa rin ang pipiliin ko,pa,,,FIL,,,,,,,,,FIL
2,27,Ikaw pa rin ang pipiliin ko,rin,,,FIL,,,,,,,,,FIL
2,28,Ikaw pa rin ang pipiliin ko,ang,,,FIL,,,,,,,,,FIL
2,29,Ikaw pa rin ang pipiliin ko,pipiliin,,,FIL,,,,,,,,,FIL
2,30,Ikaw pa rin ang pipiliin ko,ko,,,FIL,,,,,,,,,FIL
3,31,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,May,,,,FIL,,,,,FIL,,,
3,32,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,mga,,,,FIL,,,,,FIL,,,
3,33,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,bahagi,,,,FIL,,,,,FIL,,,
3,34,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,din,,,,FIL,,,,,FIL,,,
3,35,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,ito,,,,FIL,,,,,FIL,,,
3,36,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,katulad,,,,FIL,,,,,FIL,,,
3,37,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,ng,,,,FIL,,,,,FIL,,,
3,38,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,mga,,,,FIL,,,,,FIL,,,
3,39,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,talulot,,,,FIL,,,,,FIL,,,
3,40,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,na,,,,FIL,,,,,FIL,,,
3,41,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,napagkukunan,,,,FIL,,,,,FIL,,,
3,42,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,ng,,,,FIL,,,,,FIL,,,
3,43,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .,.,,,,OTH,,,,,OTH,,,
4,44,Kulang pa yan kuya gawin mo anim ang puge mo naman,Kulang,,FIL,,,,,,,FIL,,,
4,45,Kulang pa yan kuya gawin mo anim ang puge mo naman,pa,,FIL,,,,,,,FIL,,,
4,46,Kulang pa yan kuya gawin mo anim ang puge mo naman,yan,,FIL,,,,,,,FIL,,,
4,47,Kulang pa yan kuya gawin mo anim ang puge mo naman,kuya,,FIL,,,,,,,FIL,,,
4,48,Kulang pa yan kuya gawin mo anim ang puge mo naman,gawin,,FIL,,,,,,,FIL,,,
4,49,Kulang pa yan kuya gawin mo anim ang puge mo naman,mo,,FIL,,,,,,,FIL,,,
4,50,Kulang pa yan kuya gawin mo anim ang puge mo naman,anim,,FIL,,,,,,,FIL,,,
4,51,Kulang pa yan kuya gawin mo anim ang puge mo naman,ang,,FIL,,,,,,,FIL,,,
4,52,Kulang pa yan kuya gawin mo anim ang puge mo naman,puge,,FIL,,,,,,,FIL,,,
4,53,Kulang pa yan kuya gawin mo anim ang puge mo naman,mo,,FIL,,,,,,,FIL,,,
4,54,Kulang pa yan kuya gawin mo anim ang puge mo naman,naman,,FIL,,,,,,,FIL,,,
5,55,Natanggal na sama ng loob ko ng dahil sa basketball,Natanggal,,,,,FIL,,,,,,,FIL
5,56,Natanggal na sama ng loob ko ng dahil sa basketball,na,,,,,FIL,,,,,,,FIL
5,57,Natanggal na sama ng loob ko ng dahil sa basketball,sama,,,,,FIL,,,,,,,FIL
5,58,Natanggal na sama ng loob ko ng dahil sa basketball,ng,,,,,FIL,,,,,,,FIL
5,59,Natanggal na sama ng loob ko ng dahil sa basketball,loob,,,,,FIL,,,,,,,FIL
5,60,Natanggal na sama ng loob ko ng dahil sa basketball,ko,,,,,FIL,,,,,,,FIL
5,61,Natanggal na sama ng loob ko ng dahil sa basketball,ng,,,,,FIL,,,,,,,FIL
5,62,Natanggal na sama ng loob ko ng dahil sa basketball,dahil,,,,,FIL,,,,,,,FIL
5,63,Natanggal na sama ng loob ko ng dahil sa basketball,sa,,,,,FIL,,,,,,,FIL
5,64,Natanggal na sama ng loob ko ng dahil sa basketball,basketball,,,,,ENG,,,,,,,ENG
6,65,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,Kapagod,,FIL,,FIL,,,,,,,,
6,66,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,na,,FIL,,FIL,,,,,,,,
6,67,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,mag,,FIL,,FIL,,,,,,,,
6,68,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,pawis,,FIL,,FIL,,,,,,,,
6,69,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,At,,FIL,,FIL,,,,,,,,
6,70,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,May,,FIL,,FIL,,,,,,,,
6,71,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,mask,,ENG,,ENG,,,,,,,,
6,72,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,pa,,FIL,,FIL,,,,,,,,
6,73,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,Kaya,,FIL,,FIL,,,,,,,,
6,74,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,ang,,FIL,,FIL,,,,,,,,
6,75,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,saya,,FIL,,FIL,,,,,,,,
6,76,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,ko,,FIL,,FIL,,,,,,,,
6,77,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,na,,FIL,,FIL,,,,,,,,
6,78,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,malamig,,FIL,,FIL,,,,,,,,
6,79,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,na,,FIL,,FIL,,,,,,,,
6,80,Kapagod na mag pawis At May mask pa Kaya ang saya ko na malamig na .,.,,OTH,,OTH,,,,,,,,
7,81,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Kung,,,FIL,,,FIL,,,,,,
7,82,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",totoong,,,FIL,,,FIL,,,,,,
7,83,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",may,,,FIL,,,FIL,,,,,,
7,84,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",ibang,,,FIL,,,FIL,,,,,,
7,85,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",tao,,,FIL,,,FIL,,,,,,
7,86,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",na,,,FIL,,,FIL,,,,,,
7,87,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",nagkanulo,,,FIL,,,FIL,,,,,,
7,88,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",sa,,,FIL,,,FIL,,,,,,
7,89,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,,,OTH,,,FIL,,,,,,
7,90,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",",",,,OTH,,,OTH,,,,,,
7,91,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",tiyak,,,FIL,,,FIL,,,,,,
7,92,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",na,,,FIL,,,FIL,,,,,,
7,93,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",lubhang,,,FIL,,,FIL,,,,,,
7,94,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",nasasaktan,,,FIL,,,FIL,,,,,,
7,95,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",at,,,FIL,,,FIL,,,,,,
7,96,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",nagdadalamhati,,,FIL,,,FIL,,,,,,
7,97,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",ngayon,,,FIL,,,FIL,,,,,,
7,98,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",ang,,,FIL,,,FIL,,,,,,
7,99,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,,,OTH,,,FIL,,,,,,
7,100,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",",",,,OTH,,,OTH,,,,,,
7,101,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",at,,,FIL,,,FIL,,,,,,
7,102,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",dapat,,,FIL,,,FIL,,,,,,
7,103,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",kong,,,FIL,,,FIL,,,,,,
7,104,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",subukan,,,FIL,,,FIL,,,,,,
7,105,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",ngayong,,,FIL,,,FIL,,,,,,
7,106,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",aliwin,,,FIL,,,FIL,,,,,,
7,107,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",ang,,,FIL,,,FIL,,,,,,
7,108,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",puso,,,FIL,,,FIL,,,,,,
7,109,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",ng,,,FIL,,,FIL,,,,,,
7,110,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,,,OTH,,,FIL,,,,,,
7,111,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",sa,,,FIL,,,FIL,,,,,,
7,112,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",pamamagitan,,,FIL,,,FIL,,,,,,
7,113,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",ng,,,FIL,,,FIL,,,,,,
7,114,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",aking,,,FIL,,,FIL,,,,,,
7,115,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",sariling,,,FIL,,,FIL,,,,,,
7,116,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",katapatan,,,FIL,,,FIL,,,,,,
7,117,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",.,,,OTH,,,OTH,,,,,,
8,118,patapos na yung buwan ng oct,patapos,,,FIL,,,,,FIL,,,,
8,119,patapos na yung buwan ng oct,na,,,FIL,,,,,FIL,,,,
8,120,patapos na yung buwan ng oct,yung,,,FIL,,,,,FIL,,,,
8,121,patapos na yung buwan ng oct,buwan,,,FIL,,,,,FIL,,,,
8,122,patapos na yung buwan ng oct,ng,,,FIL,,,,,FIL,,,,
8,123,patapos na yung buwan ng oct,oct,,,OTH,,,,,ENG,,,,
9,124,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?","""",,,,,,OTH,,,,,,OTH
9,125,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?",Ask,,,,,,ENG,,,,,,ENG
9,126,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?",ko,,,,,,FIL,,,,,,FIL
9,127,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?",lang,,,,,,FIL,,,,,,FIL
9,128,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?",sana,,,,,,FIL,,,,,,FIL
9,129,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?",if,,,,,,ENG,,,,,,ENG
