indices,sentence_id,word_id,sentence,word,annotation_0,annotation_1
89,7,89,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,FIL,FIL
99,7,99,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,FIL,FIL
110,7,110,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan .",Diyos,FIL,FIL
123,8,123,patapos na yung buwan ng oct,oct,OTH,OTH
148,9,148,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?",fangirls,ENG,ENG
168,10,168,KoLab : Komunidad Laban sa COVID ang isa ring programang inilunsad ngayong linggo at sinimulan ito sa Naga City .,Naga,OTH,OTH
177,12,177,MagpaGA na lang kaya ako ng bigas para sa birthday ni Woozi ?,MagpaGA,OTH,OTH
206,13,206,Nakaparada umano ang kotse ni Hilario nang magsidatingan ang mga suspek na lulan ng puting Isuzu Crosswind ( XYF - 188 ) at maroon na Honda City ( NCV - 9054 ) .,Crosswind,ENG,ENG
316,18,316,"Patay ang dalawang big-time drug pusher habang tinatayang nasa 31 kilo ng shabu na nagkakahalaga ng P210 milyon ang nasamsam sa mga ito , matapos ang buy-bust operation ng Philippine National Police-Drug Enforcement Group ( PDEG ) sa Las Pinas City , Martes ng gabi .",shabu,FIL,FIL
422,22,422,"Matthew Manotoc , isang 22-anyos ang pasyente at mula sa Barangay Duripes sa bayan ng Bacarra .",Barangay,FIL,FIL
456,24,456,"Ra ulo ka Leo ikaw na nga ginawan ng favor , ikaw pa ang nang ggalaiti sa glitany tym pwd ka nyan ilaglag , wala na rin nman yan kay Franco ikaw dami mawwala sayo , kulong kapa",glitany,OTH,OTH
457,24,457,"Ra ulo ka Leo ikaw na nga ginawan ng favor , ikaw pa ang nang ggalaiti sa glitany tym pwd ka nyan ilaglag , wala na rin nman yan kay Franco ikaw dami mawwala sayo , kulong kapa",tym,OTH,OTH
499,26,499,malapit ko ng makalbo si mama huhu jennie bat ang ganda,mama,FIL,FIL
510,27,510,"Balita lang , d sapat yan , maniniwala ang pamilya na pinatay nya kung cla mismo ang makakakita na tutuong patay na , para makamit ang hostisya , d maniniwala mga tao na patay na ,",yan,FIL,FIL
576,29,576,"Sa salaysay ng testigong si Frenciss Ruby , dating kinakasama ng suspek , bago ang krimen ay patungo umano siya sa isang common comfort room sa naturang lugar , nang makita si Ortillo na kasama ang isang alyas John Dapulag .",isang,FIL,FIL
642,31,642,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Lupang,FIL,FIL
643,31,643,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Pangako,FIL,FIL
645,31,645,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Barangay,FIL,FIL
646,31,646,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Payatas,OTH,OTH
654,31,654,"Napakainit ng pagtanggap ng mga residente ng Lupang Pangako sa Barangay Payatas , Quezon City kay Vice Presidential aspirant Mayor Inday Sara Duterte sa kanyang pagbisita sa nasabing lugar .",Mayor,ENG,ENG
711,33,711,"Sagot nya po na mangutang daw po ako sa mga kaibigan ko po kasi baka wla na yung TV na yun tapos sayang daw kasi sale po , nangutang pa ako para mkadown ng TV .",TV,OTH,OTH
727,33,727,"Sagot nya po na mangutang daw po ako sa mga kaibigan ko po kasi baka wla na yung TV na yun tapos sayang daw kasi sale po , nangutang pa ako para mkadown ng TV .",TV,OTH,OTH
743,35,743,Baka meron dumalaw sa akin at wag kayo mag skip ng .,mag,FIL,FIL
